x,y,z,n_valid_orientations / 100
0.375,0.0,0.7857142857142856,0
0.375,0.0,0.8163265306122449,0
0.375,0.0,0.846938775510204,0
0.375,0.0,0.8775510204081631,0
0.375,0.0,0.9081632653061225,0
0.375,0.0,0.9387755102040816,0
0.375,0.0,0.9693877551020407,0
0.375,0.0,1.0,0
0.40625,0.0,-0.5,0
0.40625,0.0,-0.46938775510204084,0
0.40625,0.0,-0.4387755102040816,0
0.40625,0.0,-0.40816326530612246,0
0.40625,0.0,-0.37755102040816324,0
0.40625,0.0,-0.3469387755102041,0
0.40625,0.0,-0.3163265306122449,0
0.40625,0.0,-0.2857142857142857,0
0.40625,0.0,-0.25510204081632654,0
0.40625,0.0,-0.22448979591836737,0
0.40625,0.0,-0.19387755102040816,0
0.40625,0.0,-0.163265306122449,0
0.40625,0.0,-0.13265306122448983,0
0.40625,0.0,-0.10204081632653061,3
0.40625,0.0,-0.07142857142857145,11
0.40625,0.0,-0.040816326530612235,7
0.40625,0.0,-0.010204081632653073,11
0.40625,0.0,0.020408163265306145,2
0.40625,0.0,0.05102040816326525,10
0.40625,0.0,0.08163265306122447,11
0.40625,0.0,0.11224489795918369,10
0.40625,0.0,0.1428571428571428,10
0.40625,0.0,0.173469387755102,6
0.40625,0.0,0.20408163265306123,10
0.40625,0.0,0.23469387755102034,7
0.40625,0.0,0.26530612244897955,9
0.40625,0.0,0.29591836734693877,4
0.40625,0.0,0.326530612244898,7
0.40625,0.0,0.3571428571428571,4
0.40625,0.0,0.3877551020408163,7
0.40625,0.0,0.41836734693877553,6
0.40625,0.0,0.44897959183673464,12
0.40625,0.0,0.47959183673469385,6
0.40625,0.0,0.510204081632653,8
0.40625,0.0,0.5408163265306123,7
0.40625,0.0,0.5714285714285714,6
0.40625,0.0,0.6020408163265305,10
0.40625,0.0,0.6326530612244898,7
0.40625,0.0,0.6632653061224489,3
0.40625,0.0,0.693877551020408,2
0.40625,0.0,0.7244897959183674,1
0.40625,0.0,0.7551020408163265,0
0.40625,0.0,0.7857142857142856,0
0.40625,0.0,0.8163265306122449,0
0.40625,0.0,0.846938775510204,0
0.40625,0.0,0.8775510204081631,0
0.40625,0.0,0.9081632653061225,0
0.40625,0.0,0.9387755102040816,0
0.40625,0.0,0.9693877551020407,0
0.40625,0.0,1.0,0
0.4375,0.0,-0.5,0
0.4375,0.0,-0.46938775510204084,0
0.4375,0.0,-0.4387755102040816,0
